Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2015;A UN Equity;US00846U1016;Agilent Technologies Inc;2,79;1,50;1,69;5,64;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;1,50;2,19;4,20;0,00;#N/A N/A;#N/A N/A;2,00;3,00;4,33;3,47;10,00;2,14;7,63;6,84;8,99;3,37;3,38;9,49;10,00;8,53; $4.040.000.000,00 ; $813.000.000,00 ; $562.000.000,00 ; $509.000.000,00 ; $459.000.000,00 ; $7.302.000.000,00 ; $459.000.000,00 ; $4.045.000.000,00 ; $4.048.000.000,00 ; $1.653.000.000,00 ; $320.000.000,00 ; $3.399.000.000,00 ; $947.000.000,00 ; 328.000.000,00 ; $41,81 ; $3.254.000.000,00 ; $-   ; $3.000.000,00 ;31.10.2023;7,70%;6,19%;11,08%;7,17;-0,64%;22,64%;7,92%;3,59;1,23;Health Care
2016;A UN Equity;US00846U1016;Agilent Technologies Inc;2,89;1,50;1,73;5,93;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;1,50;2,19;4,86;0,00;#N/A N/A;#N/A N/A;2,00;3,00;4,26;3,66;10,00;1,76;7,40;7,65;9,57;4,80;3,38;9,49;10,00;9,21; $4.241.000.000,00 ; $901.000.000,00 ; $666.000.000,00 ; $595.000.000,00 ; $509.000.000,00 ; $7.872.000.000,00 ; $509.000.000,00 ; $4.297.000.000,00 ; $4.300.000.000,00 ; $1.802.000.000,00 ; $330.000.000,00 ; $3.635.000.000,00 ; $1.089.000.000,00 ; 322.000.000,00 ; $45,56 ; $3.572.000.000,00 ; $-   ; $3.000.000,00 ;31.10.2023;8,46%;6,71%;12,20%;6,58;4,98%;22,89%;7,78%;3,34;1,19;Health Care
2017;A UN Equity;US00846U1016;Agilent Technologies Inc;2,97;1,50;1,70;6,37;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;1,50;2,19;4,26;0,00;#N/A N/A;#N/A N/A;2,00;3,00;4,04;3,56;10,00;5,14;7,22;9,74;9,50;4,59;3,38;9,49;10,00;9,02; $4.616.000.000,00 ; $1.072.000.000,00 ; $864.000.000,00 ; $843.000.000,00 ; $196.000.000,00 ; $8.698.000.000,00 ; $196.000.000,00 ; $4.522.000.000,00 ; $4.526.000.000,00 ; $1.800.000.000,00 ; $354.000.000,00 ; $4.397.000.000,00 ; $1.361.000.000,00 ; 322.963.000,00 ; $66,97 ; $4.172.000.000,00 ; $-   ; $4.000.000,00 ;31.10.2023;9,93%;2,37%;4,44%;6,04;8,84%;20,69%;7,67%;3,23;1,22;Health Care
2018;A UN Equity;US00846U1016;Agilent Technologies Inc;3,04;1,50;1,70;6,62;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;1,50;2,19;4,37;0,00;#N/A N/A;#N/A N/A;2,00;3,00;4,05;3,75;10,00;7,33;7,53;9,25;9,23;5,21;3,38;9,49;10,00;8,65; $4.987.000.000,00 ; $1.143.000.000,00 ; $930.000.000,00 ; $961.000.000,00 ; $1.140.000.000,00 ; $8.952.000.000,00 ; $1.140.000.000,00 ; $5.036.000.000,00 ; $5.036.000.000,00 ; $1.798.000.000,00 ; $394.000.000,00 ; $3.712.000.000,00 ; $1.095.000.000,00 ; 318.000.000,00 ; $67,46 ; $3.916.000.000,00 ; $-   ; $-   ;31.10.2023;10,39%;12,92%;23,85%;5,75;8,04%;20,08%;7,90%;3,39;1,19;Health Care
2019;A UN Equity;US00846U1016;Agilent Technologies Inc;3,19;1,50;1,90;6,69;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;3,33;#N/A N/A;#N/A N/A;1,50;2,19;4,37;0,00;#N/A N/A;#N/A N/A;2,00;3,00;3,60;4,92;10,00;8,93;7,09;9,39;9,29;4,84;3,38;9,49;10,00;7,56; $5.236.000.000,00 ; $1.180.000.000,00 ; $906.000.000,00 ; $890.000.000,00 ; $764.000.000,00 ; $9.501.000.000,00 ; $764.000.000,00 ; $4.848.000.000,00 ; $4.848.000.000,00 ; $1.928.000.000,00 ; $406.000.000,00 ; $3.102.000.000,00 ; $1.892.000.000,00 ; 310.000.000,00 ; $85,31 ; $4.653.000.000,00 ; $-   ; $-   ;31.10.2023;9,54%;8,28%;15,46%;5,37;4,99%;20,29%;7,75%;1,64;1,18;Health Care
2020;A UN Equity;US00846U1016;Agilent Technologies Inc;5,06;1,50;5,08;6,57;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;6,67;#N/A N/A;#N/A N/A;1,50;7,95;4,50;8,10;#N/A N/A;#N/A N/A;8,07;3,00;5,19;4,83;10,00;9,33;6,39;9,29;8,95;3,43;3,38;9,49;10,00;7,51; $5.530.000.000,00 ; $1.299.000.000,00 ; $959.000.000,00 ; $935.000.000,00 ; $810.000.000,00 ; $9.674.000.000,00 ; $810.000.000,00 ; $4.804.000.000,00 ; $4.804.000.000,00 ; $2.361.000.000,00 ; $494.000.000,00 ; $3.483.000.000,00 ; $1.687.000.000,00 ; 305.000.000,00 ; $118,49 ; $4.870.000.000,00 ; $-   ; $-   ;31.10.2023;9,91%;8,45%;16,78%;5,54;5,61%;24,41%;8,93%;2,06;0,90;Health Care
2021;A UN Equity;US00846U1016;Agilent Technologies Inc;7,33;3,00;8,79;6,72;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;6,67;#N/A N/A;#N/A N/A;9,64;10,00;6,13;8,10;#N/A N/A;#N/A N/A;9,55;7,52;5,89;4,67;10,00;9,63;6,45;9,02;8,64;3,78;3,75;9,49;10,00;7,42; $6.445.000.000,00 ; $1.722.000.000,00 ; $1.395.000.000,00 ; $1.367.000.000,00 ; $1.205.000.000,00 ; $10.327.000.000,00 ; $1.205.000.000,00 ; $5.154.000.000,00 ; $5.154.000.000,00 ; $2.730.000.000,00 ; $455.000.000,00 ; $3.474.000.000,00 ; $1.584.000.000,00 ; 300.000.000,00 ; $159,65 ; $5.173.000.000,00 ; $-   ; $-   ;31.10.2023;13,51%;12,05%;24,20%;5,14;16,55%;26,44%;7,06%;2,19;0,87;Health Care
2022;A UN Equity;US00846U1016;Agilent Technologies Inc;6,86;3,00;8,01;6,50;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;3,33;#N/A N/A;#N/A N/A;9,64;10,00;6,15;8,10;#N/A N/A;#N/A N/A;9,34;3,00;7,67;4,68;10,00;9,74;5,91;9,03;8,72;2,37;3,75;7,61;10,00;7,39; $6.930.000.000,00 ; $1.970.000.000,00 ; $1.668.000.000,00 ; $1.595.000.000,00 ; $1.323.000.000,00 ; $10.919.000.000,00 ; $1.323.000.000,00 ; $5.609.000.000,00 ; $5.609.000.000,00 ; $2.733.000.000,00 ; $473.000.000,00 ; $4.078.000.000,00 ; $1.936.000.000,00 ; 296.000.000,00 ; $149,65 ; $5.310.000.000,00 ; $-   ; $-   ;31.10.2023;15,28%;12,45%;24,58%;4,54;7,53%;25,03%;6,83%;2,11;0,91;Health Care
2023;A UN Equity;US00846U1016;Agilent Technologies Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $6.735.000.000,00 ; $1.574.000.000,00 ; $1.308.000.000,00 ; $1.332.000.000,00 ; $1.236.000.000,00 ; $10.948.000.000,00 ; $1.236.000.000,00 ; $6.188.000.000,00 ; $6.188.000.000,00 ; $2.555.000.000,00 ; $486.000.000,00 ; $4.338.000.000,00 ; $1.617.000.000,00 ; 293.041.817,00 ; $139,03 ; $4.760.000.000,00 ; $-   ; $-   ;31.10.2023;11,95%;11,30%;20,95%;4,71;-2,81%;23,34%;7,22%;2,68;1,13;Health Care
2015;AAL UW Equity;US02376R1023;American Airlines Group Inc;2,95;1,71;2,18;7,40;4,78;0,83;6,02;1,42;#N/A N/A;0,74;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;0,00;#N/A N/A;2,87;#N/A N/A;2,62;#N/A N/A;8,68;3,39;8,17;10,00;8,17;7,50;9,60;8,88;4,63;9,49;10,00;7,60; $40.990.000.000,00 ; $7.813.000.000,00 ; $6.204.000.000,00 ; $4.616.000.000,00 ; $7.610.000.000,00 ; $48.415.000.000,00 ; $7.610.000.000,00 ; $5.635.000.000,00 ; $5.635.000.000,00 ; $18.330.000.000,00 ; $-   ; $9.985.000.000,00 ; $13.605.000.000,00 ; 624.622.381,00 ; $42,35 ; $42.780.000.000,00 ; $-   ; $-   ;31.12.2023;12,81%;16,61%;198,80%;1,05;-3,89%;37,86%;0,00%;0,73;1,53;Industrials
